Author,Suite,Pluton,Age (MA),Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr,87Sr/86Sr(t),Sm,Nd,147Sm/144Nd,143Nd/144Nd,TDM,eNd(T=0),eNd_t,Author
[3],PHKCalcAlkAlk,Acari,577,AC-7B,164,239,0.686192469,1.99,0.70678,5.1,34.9,0.0881,0.511298,2239.360115,-26.1,-18.15638404,
[3],Shos,São João do Sabugi,579,ED-65,81,870,0.093103448,0.27,0.70821,7.5,42.5,0.1062,0.511546,2266.035739,-21.3,-14.62531127,
[3],PHKCalcAlkAlk,Acari,577,AC-9,147,349,0.421203438,1.22,0.70654,4.9,36.3,0.0822,0.511175,2280.555777,-28.5,-20.12346613,
[3],Shos,Totoro,595,ED-115,85,514,0.16536965,0.48,0.70684,7,40.4,0.0923,0.511311,2300.121575,-25.9,-17.97243191,
[8],EHKCalcAlkAlk,Casserengue,570,LG41,212,337,0.629080119,1.821,0.71357,13.34,92.19,0.0875,0.511238,2300.418481,-27.31,-19.38187167,
[3],Shos,Totoro,595,ED-108B,41,755,0.054304636,0.16,0.70698,11.4,69.1,0.0991,0.511382,2342.258795,-24.5,-17.10331446,
[3],PHKCalcAlkAlk,Sao Jose do Espinharas,576,HD-26B,127,247,0.51417004,1.49,0.70693,7.9,46.7,0.1033,0.511426,2370.670724,-23.6,-16.79043321,
[3],Shos,Totoro,575,ED-117,84,556,0.151079137,0.44,0.70812,7.6,51.2,0.0892,0.511203,2373.920575,-28,-20.12094945,
[3],Shos,Sao Jose do Espinharas,575,ED-170,141,691,0.204052098,0.59,0.70965,9.7,53.2,0.1098,0.511525,2374.383784,-21.7,-15.34678783,
[8],EHKCalcAlkAlk,Cerro Cora,560,D3,229.5,189,1.214285714,3.517,0.719176,17.85,106.91,0.1009,0.511356,2414.041934,-25.01,-18.17677679,
[3],Shos,São João do Sabugi,579,ED-59,29,930,0.031182796,0.09,0.70984,3.3,18.4,0.1084,0.511474,2415.969258,-22.7,-16.19490961,
[4],Shos,São João do Sabugi,579,ED-62,94,729,0.128943759,0.373,0.71292,7.5,40,0.112,0.51153,2417.942476,-21.61,-15.367739,
[3],Shos,Totoro,595,ED-107A,33,684,0.048245614,0.14,0.70591,9.6,55.7,0.1041,0.511403,2419.427774,-24.1,-17.07390089,
[3],Shos,Sao Jose do Espinharas,575,HD-18,97,1001,0.096903097,0.28,0.70797,8.1,40.1,0.1206,0.511656,2435.846522,-19.2,-13.5825627,
[3],PHKCalcAlkAlk,Totoro,580,ED-163A,124,449,0.276169265,0.81,0.70684,5.3,30.8,0.1041,0.511391,2435.905516,-24.3,-17.48582412,
[3],Shos,São João do Sabugi,579,ED-151B,117,412,0.283980583,0.82,0.70865,10.2,56.4,0.1089,0.511468,2436.020812,-22.8,-16.34917893,
[8],Shos,Jardim do Serido,651,ZEF25B,156,815,0.191411043,0.617,0.711477,6.27,35.4,0.1072,0.511421,2463.854305,-23.75,-16.31769989,
[3],Shos,Japi,597,MH-99B,144,1009,0.14271556,0.33,0.71201,9.5,53.1,0.0999,0.511293,2476.305631,-26.2,-18.87823189,
[8],PHKCalcAlkAlk,Totoro,580,ZEF46,33,687,0.048034934,0.139,0.707369,8.69,45.41,0.1158,0.511524,2520.246881,-21.73,-15.75624937,
[3],PHKCalcAlkAlk,Acari,577,MS-122A,234,155,1.509677419,4.38,0.70815,6.6,41.5,0.0971,0.511124,2635.297053,-29.5,-22.22023797,
[4],Shos,São João do Sabugi,579,ED-59*,36,1081,0.033302498,0.096,0.71059,3.3,18.3,0.108,0.5113,2654.474128,-26.1,-19.56442014,
[3],Shos,Japi,598,MH-61B,25,653,0.038284839,0.11,0.71192,8.7,44.8,0.1172,0.511435,2695.126381,-23.5,-17.41610035,
[3],Shos,Acari,577,AC-4B*,,,,,,9.2,68.9,0.0814,0.511602,1779.851341,-20.21,-11.72281509,
[3],Shos,Casserengue,575,MA-197A,,,,,,9.3,54.3,0.1041,0.511811,1858.1254,-16.13,-9.34020344,
[7],Shos,Quixaba,623,FA-108,,,,,,21,149.5,0.0849,0.511411,2051.816443,-22.1,-15.05467004,
[3],Shos,Casserengue,575,MA-198,,,,,,9.4,48.6,0.1175,0.511793,2143.381538,-16.48,-10.67808151,
[8],PHKCalcAlkAlk,Serrinha,575,ES31L,,,,,,6.51,45.78,0.0859,0.511309,2188.113692,-25.92,-17.80733887,
[6],CalcAlk,Gameleira,575,TP-33,,,,,,6.813,36.326,0.1134,0.511695,2203.684354,-18.4,-12.29076799,
[3],Shos,Japi,597,MH-64,,,,,,7,36.7,0.1153,0.511717,2212.232814,-17.97,-11.77181667,
[7],Shos,Diorito (Dr. Severiano),575,CPM128,,,,,,7.8,51,0.0925,0.511362,2240.496459,-24.9,-17.25773652,
[6],CalcAlk,Gameleira,575,TP-03,,,,,,6.165,32.137,0.116,0.511691,2268.065462,-18.47,-12.56026965,
[3],Shos,São João do Sabugi,579,ED-62**,,,,,,8.2,44.5,0.1109,0.511607,2279.477071,-20.11,-13.78198924,
[1],EHKCalcAlkAlk,Dona Ines,582,S-72(SCB-Ing),,,,,,9.02,66.83,0.08351,0.51118,2297.546548,-28.5,-20.05021482,
[2],Shos,Solânea,572,BO-03,,,,,,11.08,72.13,0.0929,0.511322,2297.744897,-25.67,-18.10838094,
