AUTOR,SERIE,Age (MA),PLUTON,Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr(T),Error,87Sr/86Sr(T),Error
[4],EHKCalcAlk,582,Dona Ines,DI-5E,191.7,108.3,1.770083102,5.109,0.004,0.75142,0.00113
[4],EHKCalcAlk,582,Dona Ines,DI-3D,279.6,194.2,1.439752832,4.157,0.003,0.74513,0.00112
[1],EHKCalcAlk,582,Dona Ines,3057/S-2A,197,159.1,1.238214959,3.596,0.101,0.74158,
[4],EHKCalcAlk,582,Dona Ines,S-2A,197,159.1,1.238214959,3.596,0.101,0.74158,0.00009
[4],EHKCalcAlk,582,Dona Ines,DI,225.5,188.3,1.19755709,3.46,0.003,0.74057,0.00111
[4],EHKCalcAlk,582,Dona Ines,DI-3A,258.3,210.3,1.228245364,3.545,0.003,0.7393,0.001111
[4],EHKCalcAlk,582,Dona Ines,DI-12,198.5,161.7,1.227581942,3.547,0.003,0.73814,0.0011
[4],EHKCalcAlk,582,Dona Ines,DI-3B,234.3,203.3,1.152484014,3.327,0.002,0.73689,0.00111
[4],EHKCalcAlk,582,Dona Ines,DI-5C,269.9,231.3,1.166882836,3.369,0.003,0.73586,0.0011
[4],EHKCalcAlk,582,Dona Ines,DI-10,230.5,252.1,0.914319714,2.641,0.002,0.73564,0.00111
[1],EHKCalcAlk,582,Dona Ines,13055/S-14,245.9,220.5,1.115192744,3.236,0.091,0.73475,
[4],EHKCalcAlk,582,Dona Ines,DI-1,134.7,215.4,0.625348189,3.146,0.03,0.73359,0.0011
[4],EHKCalcAlk,582,Dona Ines,S-14,137.7,215.4,0.639275766,3.146,0.003,0.73359,0.0011
[4],EHKCalcAlk,582,Dona Ines,11B,199.7,223.7,0.892713456,2.578,0.002,0.7305,0.0011
[1],EHKCalcAlk,582,Dona Ines,13058/S-59,148.4,1010,0.146930693,0.4255,0.06,0.70962,
[4],EHKCalcAlk,582,Dona Ines,S-59,148.4,1010,0.146930693,0.4255,0.06,0.70962,0.00009
[12],EHKCalcAlk,,Olivedo,RN17,275.5,61.8,4.457928803,4.457928803,,0.81138,
[12],EHKCalcAlk,,Olivedo,RN-13,294.2,106.1,2.772855796,2.772855796,,0.77428,
[12],EHKCalcAlk,,Olivedo,RN-14,297.5,106.4,2.796052632,2.796052632,,0.77368,
[12],EHKCalcAlk,,Olivedo,RN-12,295.5,113.6,2.601232394,2.601232394,,0.76876,
[12],EHKCalcAlk,,Olivedo,RN-15,232.4,120.6,1.927031509,1.927031509,,0.75498,
[14],EHKCalcAlk,570,Santana do Matos,ZEF51,135,332,0.406626506,1.177,,0.719935,
[8],EHKCalcAlk,575,Sao Jose do Espinharas,MS-10C,127,1241,0.102336825,0.297,0.008,0.71047,0.0002
[9],EHKCalcAlk,580,Sao Rafael,DSR-20 (Serra),74.7,365.3,0.204489461,0.3,,0.7192,
[9],EHKCalcAlk,580,Sao Rafael,DSR-25 (Serra),58.8,424,0.138679245,0.5918,,0.7176,
