AUTOR,SERIE,Age (MA),PLUTON,Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr(T),Error,87Sr/86Sr(T),Error
[14],Paleoproterozoic,,,LG206A,41,1186,0.034569983,0.1,,0.70793,
[14],Paleoproterozoic,,,ZEF69,45,882,0.051020408,0.151,,0.705959,
[14],Paleoproterozoic,,,ZEF67,38,1833,0.020731042,0.06,,0.703658,
[8],Shos,572,Acari,AC-5E,113,692,0.163294798,0.473,0.013,0.71152,0.00019
[8],Shos,572,Acari,AC-4B,133,941,0.141339001,0.409,0.012,0.71069,0.00029
[8],Shos,572,Acari,AC-3B,74,728,0.101648352,0.293,0.008,0.70887,0.00024
[7],Shos,575,Acari,ED-123,113,824,0.137135922,0.4,,0.70747,
[8],Shos,572,Acari,AC-5D,118,676,0.174556,0.51,,0.70704,
[8],Shos,573,Acari,AC-4A,145,981,0.147808,0.43,,0.70681,
[1],Shos,,Belem (Dona Ines),13054/S-35B,176,786.8,0.2236909,0.6478,0.0091,0.7112,
[1],Shos,,Belem (Dona Ines),13053/S-35C,110.3,785.7,0.140384371,0.4064,0.0056,0.70921,
[1],Shos,,Belem (Dona Ines),13052/S-148A,118,1020.5,0.115629593,0.3346,0.0047,0.70788,
[14],Shos,570,Casserengue,ES35F,138,524,0.263358779,0.763,,0.713296,
[7],Shos,570,Casserengue,MA-186A,40,258,0.15503876,0.45,,0.70716,
[7],Shos,570,Casserengue,MA-164A,43,513,0.083820663,0.24,,0.70693,
[7],Shos,597,Japi,MH-252a,142.5,479.6,0.297122602,0.861,,0.72411,0.024
[7],Shos,597,Japi,MH-187a,144.6,369.6,0.391233766,1.134,,0.72187,0.032
[7],Shos,597,Japi,MH-49a,118.1,490.5,0.24077472,0.689,,0.71883,0.02
[7],Shos,597,Japi,MH-152c,118.3,521.8,0.226715217,0.657,,0.71856,0.19
[7],Shos,597,Japi,MH-94,131.3,470.7,0.27894625,0.808,,0.71834,0.023
[7],Shos,597,Japi,MH-99B,144,1009,0.14271556,0.33,,0.71201,
[7],Shos,598,Japi,MH-61B,25,653,0.038284839,0.11,,0.71192,
[14],Shos,651,Jardim do Serido,ZEF46,33,687,0.048034934,0.139,,0.707369,
[8],Shos,579,Sao Joao do Sabugi,A-1C,98,414,0.236714976,0.649,0.018,0.71517,0.00069
[8],Shos,579,Sao Joao do Sabugi,A-1E,99,423,0.234042553,0.642,0.018,0.71464,0.0009
[8],Shos,579,Sao Joao do Sabugi,F-3F,98,710,0.138028169,0.415,0.012,0.71319,0.00077
[8],Shos,579,Sao Joao do Sabugi,A-2B,89,670,0.132835821,0.416,0.012,0.71269,0.00053
[8],Shos,579,Sao Joao do Sabugi,F-3C,94,801,0.117353308,0.375,0.011,0.71217,0.00033
[8],Shos,579,Sao Joao do Sabugi,F-3A,96,952,0.100840336,0.28,0.001,0.71108,0.00023
[8],Shos,579,Sao Joao do Sabugi,F-3E,90,1356,0.066371681,0.184,0.006,0.71008,0.00014
[8],Shos,579,São João do Sabugi,ED-62,94,729,0.128943759,0.373,,0.71292,
[8],Shos,579,São João do Sabugi,ED-59,36,1081,0.033302498,0.096,,0.71059,
[7],Shos,579,São João do Sabugi,HD-24,43,971,0.044284243,0.13,,0.70988,
[7],Shos,579,São João do Sabugi,HD-23,42,506,0.083003953,0.24,,0.70985,
[7],Shos,579,São João do Sabugi,ED-59,29,930,0.031182796,0.09,,0.70984,
[7],Shos,579,São João do Sabugi,ED-151B,117,412,0.283980583,0.82,,0.70865,
[7],Shos,579,São João do Sabugi,ED-65,81,870,0.093103448,0.27,,0.70821,
[7],Shos,579,São João do Sabugi,ED-153,45,889,0.050618673,0.15,,0.70798,
[7],Shos,579,São João do Sabugi,HD-22,104,723,0.14384509,0.42,,0.70787,
[7],Shos,579,São João do Sabugi,ED-60,125,533,0.234521576,0.68,,0.70784,
[7],Shos,579,São João do Sabugi,ED-62,109,556,0.196043165,0.57,,0.70776,
[7],Shos,579,São João do Sabugi,ED-61,105,601,0.174708819,0.51,,0.70766,
[7],Shos,579,São João do Sabugi,ED-63,83,830,0.1,0.29,,0.70763,
[7],Shos,575,Sao Jose do Espinharas,MS-19,115,677,0.169867061,0.49,,0.74171,
[8],Shos,575,Sao Jose do Espinharas,SN-8,171,595,0.287394958,0.831,0.023,0.71599,0.00027
[8],Shos,575,Sao Jose do Espinharas,MS-29F,143,681,0.209985316,0.609,0.017,0.71514,0.0002
[8],Shos,575,Sao Jose do Espinharas,MS-19H,139,719,0.193324061,0.558,0.016,0.71507,0.00023
[8],Shos,575,Sao Jose do Espinharas,MS-19J,133,676,0.196745562,0.572,0.016,0.71473,0.00014
[8],Shos,575,Sao Jose do Espinharas,MS-19D,121,664,0.182228916,0.528,0.015,0.7143,0.0002
[8],Shos,575,Sao Jose do Espinharas,MS-19E,119,739,0.161028417,0.466,0.013,0.71418,0.00031
[8],Shos,575,Sao Jose do Espinharas,MS-19I,120,744,0.161290323,0.466,0.013,0.71416,0.00025
[8],Shos,575,Sao Jose do Espinharas,HV-81D,148,511,0.28962818,0.841,0.024,0.71415,0.00049
[8],Shos,575,Sao Jose do Espinharas,ML-80C,95,675,0.140740741,0.407,0.012,0.71337,0.0005
[8],Shos,575,Sao Jose do Espinharas,SN-5,120,637,0.188383046,0.543,0.015,0.71152,0.00045
[7],Shos,575,Sao Jose do Espinharas,ED-174B,146,650,0.224615385,0.65,,0.71041,
[7],Shos,575,Sao Jose do Espinharas,HD-16,147,640,0.2296875,0.67,,0.71021,
[8],Shos,575,Sao Jose do Espinharas,ML-80A,83,725,0.114482759,0.33,0.009,0.7099,0.00016
[7],Shos,575,Sao Jose do Espinharas,ED-170,141,691,0.204052098,0.59,,0.70965,
[8],Shos,575,Sao Jose do Espinharas,ML-80B,71,713,0.099579243,0.288,0.008,0.70927,0.00016
[7],Shos,575,Sao Jose do Espinharas,SN-12,186,691,0.269175109,0.78,,0.70861,
[7],Shos,575,Sao Jose do Espinharas,HD-18,97,1001,0.096903097,0.28,,0.70797,
[7],Shos,576,Sao Jose do Espinharas,ED-169,113,656,0.172256098,0.49,,0.70261,
[9],Shos,580,Sao Rafael,DSR-3 (MME),104.7,496.1,0.21104616,0.3764,,0.7173,
[9],Shos,580,Sao Rafael,DSR-11 (MME),78.1,730.4,0.106927711,0.6108,,0.7143,
[7],Shos,595,Totoro,ED-117,84,556,0.151079137,0.44,,0.70812,
[7],Shos,595,Totoro,ED-108B,41,755,0.054304636,0.16,,0.70698,
[7],Shos,595,Totoro,ED-115,85,514,0.16536965,0.48,,0.70684,
[7],Shos,595,Totoro,ED-111,147,551,0.266787659,0.77,,0.70649,
[7],Shos,595,Totoro,ED-110A,67,445,0.150561798,0.44,,0.70601,
[7],Shos,595,Totoro,ED-107A,33,684,0.048245614,0.14,,0.70591,
"[1] Borges, S. V. F. (1996). Geologia da região do Médio Curimataú (PB) e o alojamento do granito de Dona Inês associado a zonas de cisalhamento transcorrentes brasilianas (Doctoral dissertation, Universidade de São Paulo).",,,,,,,,,,,
"[2] Brito Neves, B. B. D. (1978). Estudo de geocronologia da faixa costeira pré-cambriana do Nordeste Relatório referente ao termo de concessão 22220884/75 CNPq, Recife, 1978",,,,,,,,,,,
"[3]  Brito Neves, B. B. D. (1975). Regionalização geotectônica do Precambriano nordestino (Doctoral dissertation, Universidade de São Paulo).",,,,,,,,,,,
"[4] Brito Neves, B. B., Neto, M. C., Van Schmus, W. R., & Santos, E. J. (2001). O sistema PajeúParaíba e o Maciço São José do Campestre no leste da Borborema. Revista Brasileira de Geociências, 31(2), 173-184.",,,,,,,,,,,
"[5] Galindo, A. C., Dall'Agnol, R., & McReath, I. (1995). Geochemistry and petrogenesis of the charnockitoid association in the umarizal pluton, west of Rio Grande do Norte state, Brazil. In Abstracts Volume.",,,,,,,,,,,
"[6] Galindo, A.C. 1993. Petrologia dos granitóides brasilianos da região de Caraúbas-Umarizal, oeste do Rio Grande do Norte. Centro de Geociências, Universidade Federal do Pará, Belém, Tese de Doutorado, 370p.",,,,,,,,,,,
"[7] Hollanda, M. H. B. M., Pimentel, M. M., & de Sá, E. F. J. (2003). Paleoproterozoic subduction-related metasomatic signatures in the lithospheric mantle beneath NE Brazil: inferences from trace element and SrNdPb isotopic compositions of Neoproterozoic high-K igneous rocks. Journal of South American Earth Sciences, 15(8), 885-900.",,,,,,,,,,,
"[8] Jardim de Sá, E.F. 1994. A Faixa Seridó (Província Borborema, NE do Brasil) e o seu significado geodinâmico na cadeia Brasiliana/Pan-Africana. Instituto de Geociências, Universidade de Brasília, Brasília, Tese de Doutorado, 803p.",,,,,,,,,,,
"[9] Ketcham, D. 1994. Rb-Sr and Sm-Nd Study of the Sao Rafael Batholith, Rio Grande do Norte, NE Brazil",,,,,,,,,,,
"[10] McMurry, J.; Long, L.E.; Sial, A.N. 1987. Evolution of a heterogeneus, continentally derived granite: Dona Inês pluton northeastern Brazil. J. Geol., 95: 107-117.",,,,,,,,,,,
"[11] McReath, I., Galindo, A. C., & Dall'Agnol, R. (2002). The Umarizal igneous association, Borborema Province, NE Brazil: implications for the genesis of A-type granites. Gondwana Research, 5(2), 339-353.",,,,,,,,,,,
"[12] Nascimento, M.A.L. (2000). Petrologia do magmatismo tardi-brasiliano no Maciço São José de Campestre (RN-PB), com ênfase no plúton alcalino Caxexa. Pós-Graduação em Geodinâmica e Geofísica, Universidade Federal do Rio Grande do Norte, Dissertação de Mestrado, 142p.",,,,,,,,,,,
"[13] Pessoa, D. A. R. (1976). Estudo geocronológico das rochas policíclicas do Complexo São Vicente nos anticlinórios de Caico e Florania-RN (Doctoral dissertation, Universidade de São Paulo).",,,,,,,,,,,
"[14] Souza, Z. S., Kalsbeek, F., Deng, X. D., Frei, R., Kokfelt, T. F., Dantas, E. L., ... & Galindo, A. C. (2016). Generation of continental crust in the northern part of the Borborema Province, northeastern Brazil, from Archaean to Neoproterozoic. Journal of South American Earth Sciences, 68, 68-96.",,,,,,,,,,,
